current,voltage,temperature,power,time
1.6718,4.1507,270.1026,6.93917996,0.0
1.086,4.15,270.147,4.507005802,1.0
1.0452,4.1499,270.1142,4.337608987,2.0
1.0497,4.15,270.1628,4.356465977,3.0
1.0421,4.1499,270.155,4.324526522,4.0
1.0035,4.1499,270.08709999999996,4.164566504,5.0
0.9859,4.15,270.1139,4.091665448,6.0
0.9726,4.15,270.15709999999996,4.036542577,7.0
0.9717,4.15,270.15909999999997,4.032706881,8.0
0.9724,4.15,270.20399999999995,4.035563466,9.0
0.9422,4.15,270.15049999999997,3.910218115,10.0
0.9512,4.15,270.1037,3.947611759,11.0
0.9303,4.15,270.14079999999996,3.86063276,12.0
0.9282,4.1498,270.1119,3.852065157,13.0
0.9179,4.1499,270.1097,3.809059288,14.0
0.9235,4.15,270.18919999999997,3.832557185,15.0
0.8904,4.1498,270.1054,3.694880327,16.0
0.9043,4.1499,270.0408,3.753003164,17.0
0.8823,4.1499,269.88349999999997,3.661267258,18.0
0.8739,4.1499,270.0943,3.626701546,19.0
0.8685,4.15,270.1001,3.604306359,20.0
0.8681,4.1499,270.02119999999996,3.602335416,21.0
0.862,4.1499,270.06039999999996,3.577101001,22.0
0.8613,4.1499,270.00789999999995,3.574327384,23.0
0.8482,4.15,270.0236,3.520099388,24.0
0.8548,4.1499,270.1128,3.547189037,25.0
0.8392,4.1501,270.09909999999996,3.482772584,26.0
0.8363,4.15,270.07239999999996,3.470504153,27.0
0.8361,4.1501,269.9872,3.469670707,28.0
0.8311,4.15,269.94689999999997,3.449031637,29.0
0.7973,4.15,270.0899,3.308687494,30.0
0.8088,4.1499,270.08329999999995,3.356359115,31.0
0.8198,4.15,269.96119999999996,3.402279774,32.0
0.8056,4.1499,270.0616,3.343221417,33.0
0.8058,4.1499,270.08099999999996,3.344182647,34.0
0.7914,4.1499,270.0343,3.284269196,35.0
0.7765,4.1499,270.0336,3.222546464,36.0
0.7772,4.15,270.0829,3.225452607,37.0
0.7813,4.15,270.0994,3.24226551,38.0
0.7689,4.15,270.02729999999997,3.190825593,39.0
0.793,4.15,270.04569999999995,3.290913857,40.0
0.7565,4.15,270.05839999999995,3.139361188,41.0
0.779,4.1499,269.95829999999995,3.232876035,42.0
0.7576,4.1499,270.07579999999996,3.144004502,43.0
0.7617,4.15,270.05499999999995,3.160891066,44.0
0.7558,4.1499,270.0587,3.136491855,45.0
0.749,4.1499,270.0734,3.108481899,46.0
0.7545,4.1499,270.0489,3.130874763,47.0
0.7348,4.1499,270.14529999999996,3.049511314,48.0
0.7416,4.1499,269.989,3.077569561,49.0
0.7468,4.1499,270.0591,3.099113141,50.0
0.7227,4.1499,270.08299999999997,2.998988552,51.0
0.7292,4.15,269.9283,3.026199975,52.0
0.7242,4.1498,270.1108,3.005508737,53.0
0.7058,4.1499,270.039,2.928822433,54.0
0.726,4.1499,270.04299999999995,3.013066499,55.0
0.6967,4.1501,270.17199999999997,2.891543526,56.0
0.7134,4.15,270.0163,2.960750384,57.0
0.7114,4.15,270.0609,2.95229013,58.0
0.7062,4.1501,270.0123,2.930851425,59.0
0.6999,4.1499,270.05289999999997,2.904519033,60.0
0.688,4.15,270.018,2.854980763,61.0
0.708,4.15,270.0815,2.938267344,62.0
0.6882,4.15,270.1289,2.85592086,63.0
0.7089,4.15,270.0736,2.942045316,64.0
0.7071,4.1499,270.0403,2.934489126,65.0
0.717,4.1499,269.99269999999996,2.975639459,66.0
0.681,4.1499,270.01959999999997,2.825968936,67.0
